Drug,MW,LogP,TPSA
PRAZOSIN,383.40800000000024,1.7845999999999997,106.95
NICOTINE,162.236,1.8483,16.130000000000003
OFLOXACIN,361.37300000000005,1.5439999999999998,75.00999999999999
NALIDIXIC ACID,232.23899999999998,1.4230200000000002,72.19
INDOMETHACIN,357.793,3.9273200000000026,68.53
SULBACTAM,233.24499999999998,-0.794999999999999,91.75
TAZOBACTAM,300.296,-1.523199999999998,122.45999999999998
CIPROFLOXACIN,331.34700000000004,1.5833,74.57
NORFLOXACIN,319.336,1.2683,74.57000000000001
AMPHETAMINE,135.20999999999998,1.5763,26.02
ISOSORBIDE DINITRATE,236.13599999999997,-1.0622000000000003,123.20000000000002
MIANSERIN,264.372,3.0839000000000016,6.48
IMIPRAMINE,280.415,3.8750000000000027,6.48
INDAPAMIDE,365.84200000000004,2.0834,92.5
FLUMAZENIL,303.293,1.7736999999999998,64.43
TROGLITAZONE,441.54900000000015,4.374260000000002,84.86
BICALUTAMIDE,430.3790000000001,2.8795800000000007,107.25999999999999
DIAZEPAM,284.74600000000004,3.153800000000002,32.67
METOPROLOL,267.36899999999997,1.6132,50.72
DIETHYLSTILBESTROL,268.356,4.828600000000005,40.46
MECAMYLAMINE,167.296,2.4206000000000003,12.03
CARBACHOL,182.65099999999998,-3.2080999999999973,52.32
PHENYTOIN,252.27300000000002,1.7696,58.2
SIROLIMUS,914.187,6.180600000000006,195.42999999999995
TACROLIMUS ANHYDROUS,804.0310000000001,4.639000000000004,178.35999999999996
CLOMIPRAMINE,314.86,4.528400000000004,6.48
METHOXSALEN,216.19199999999995,2.5478000000000005,52.58
DICHLORPHENAMIDE,305.16400000000004,0.2882000000000006,120.32
ETHOXZOLAMIDE,258.32399999999996,1.3424,82.28
EPIRUBICIN,543.5250000000003,0.0012999999999993017,206.07
METHAZOLAMIDE,236.278,-1.4237999999999997,107.41
ACETAZOLAMIDE,222.251,-0.8561000000000003,115.03999999999999
MAFENIDE,186.236,-0.20729999999999998,86.18
SULFANILAMIDE,172.20900000000003,-0.08380000000000004,86.18
GUANABENZ,231.086,1.8103700000000003,74.26
TRIMETHOPRIM,290.32300000000004,1.2575999999999998,105.51
VERAPAMIL,454.6110000000002,5.093080000000005,63.95
SULFASALAZINE,398.4000000000001,3.7016000000000013,141.31
COUMARIN,146.14499999999998,1.793,30.21
DILTIAZEM,414.52700000000016,3.368500000000002,59.080000000000005
ATENOLOL,266.34099999999995,0.45210000000000006,84.57999999999998
ASPIRIN,180.15899999999996,1.3101,63.60000000000001
TRIFLUOPERAZINE,407.50500000000017,4.945600000000005,9.72
BETAXOLOL,307.434,2.3933999999999997,50.72
OLSALAZINE,302.242,2.9096000000000006,139.78
PROPRANOLOL,259.34900000000005,2.5775000000000006,41.489999999999995
PRACTOLOL,266.34099999999995,1.3826999999999992,70.59
MECHLORETHAMINE,156.056,1.3958,3.24
PENICILLIN G,334.39700000000005,0.8607999999999998,86.71000000000001
TROVAFLOXACIN,416.3590000000001,1.8944999999999996,101.44999999999999
CIMETIDINE,252.347,0.5974,88.88999999999999
GATIFLOXACIN,375.40000000000015,1.9804,83.80000000000001
LABETALOL,328.4120000000001,2.1353999999999997,95.57999999999998
MOXIFLOXACIN,401.4380000000002,2.3705000000000007,83.80000000000001
LEVOFLOXACIN ANHYDROUS,361.37300000000005,1.5439999999999998,75.00999999999999
GEMIFLOXACIN,389.38700000000017,0.966,123.04
SPIRAPRIL,466.62500000000034,2.3908000000000005,95.94000000000001
VALPROATE SODIUM,166.196,-2.043299999999997,40.129999999999995
ISOPROTERENOL,211.261,1.1291999999999998,72.72
HYDROCHLOROTHIAZIDE,297.74500000000006,-0.35129999999999967,118.35999999999999
FUROSEMIDE,330.749,1.8907,122.63000000000001
PYRIMETHAMINE,248.71700000000004,2.5238000000000005,77.82
TOLRESTAT,357.353,3.5591000000000026,49.769999999999996
SULFATHIAZOLE,255.32400000000004,1.5261,85.08
SULFAMERAZINE,264.31,1.16802,97.97
SULFADIAZINE,250.28300000000004,0.8596000000000001,97.97
THIAMYLAL,254.355,1.5159999999999998,58.2
THIOPENTAL,242.34400000000002,1.3498999999999999,58.2
CYCLOBARBITAL,236.271,1.2491999999999996,75.27000000000001
ERGOTAMINE,581.6730000000001,1.990800000000002,118.21000000000001
TRETINOIN,300.44200000000006,5.602600000000005,37.3
METHOHEXITAL,262.30899999999997,1.3066,66.48
PHENOBARBITAL,232.23899999999995,0.7004,75.27000000000001
FLUOXETINE,309.33099999999996,4.435000000000003,21.259999999999998
SULFAMETHOXAZOLE,253.28300000000002,1.3660199999999998,98.22
CLOZAPINE,326.83100000000013,3.7227000000000023,30.869999999999997
NORTRIPTYLINE,263.38399999999996,3.826400000000003,12.03
SULFAMETHAZINE,278.337,1.4764399999999998,97.97
SECOBARBITAL,238.28699999999998,1.3510999999999997,75.27000000000001
PENTOBARBITAL,226.276,1.1849999999999998,75.27000000000001
QUINACRINE,399.9660000000002,5.972400000000006,37.39
AMOBARBITAL,226.27599999999998,1.1849999999999998,75.27000000000001
HEXOBARBITAL,236.27099999999993,1.2012999999999998,66.48
BUTABARBITAL,212.249,0.7948999999999999,75.27000000000001
APROBARBITAL,210.23299999999998,0.5709000000000001,75.27000000000001
METHARBITAL,198.22199999999998,0.5009999999999999,66.48
CHLORDIAZEPOXIDE,299.761,2.950700000000001,50.459999999999994
MELAGATRAN,429.52100000000024,0.8108700000000015,148.60999999999999
CLONAZEPAM,315.716,3.037700000000001,84.6
SULFISOXAZOLE,267.31,1.67444,98.22
SULFAMETHOXYPYRIDAZINE,280.30899999999997,0.8681999999999999,107.2
BUTALBITAL,224.26,0.9609999999999999,75.27000000000001
SULFACETAMIDE,214.246,0.0935999999999998,89.26
AMSACRINE,393.46800000000013,4.511700000000003,80.32
ETHACRYNIC ACID,303.14099999999996,3.6057000000000023,63.60000000000001
TICRYNAFEN,331.17600000000004,3.7493000000000016,63.6
GEMFIBROZIL,250.33799999999997,3.573240000000002,46.53
MELATONIN,232.28299999999996,1.8550999999999997,54.12
ONDANSETRON,293.37000000000006,3.1285200000000017,39.82
BUSPIRONE,385.5120000000001,2.0881999999999996,69.64000000000001
METHYLDOPA,211.21699999999998,0.4423000000000001,103.78000000000002
MOLINDONE,276.38,1.96282,45.33
APOMORPHINE,267.328,2.8499000000000025,43.7
HALOPERIDOL,375.87100000000015,4.425600000000004,40.540000000000006
PENTAMIDINE,340.42699999999996,2.8828400000000007,118.2
AMINOHIPPURIC ACID,194.19000000000003,0.08319999999999966,92.42
ETRETINATE,354.4900000000001,5.645560000000007,35.53
NEVIRAPINE,266.30400000000003,2.6512200000000004,58.120000000000005
DRONABINOL,314.46900000000005,5.735800000000006,29.46
MITOXANTRONE,444.4880000000002,-0.13919999999999944,163.17999999999998
DOPAMINE,153.18099999999998,0.5989999999999998,66.48
HYDROXYUREA,76.05499999999999,-0.9561000000000002,75.35000000000001
PODOFILOX,414.41000000000025,2.4092000000000002,92.68
ISONIAZID,137.142,-0.3149000000000006,68.00999999999999
THALIDOMIDE,258.23299999999995,0.08779999999999993,83.55000000000001
KETOROLAC,255.27299999999997,2.291,59.3
SOTALOL,272.37,1.0895000000000001,78.43
GLYBURIDE,494.0130000000003,3.641700000000003,113.6
HEXESTROL,270.37199999999996,4.785200000000004,40.46
DOFETILIDE,441.57500000000016,1.9828999999999997,104.81
DACARBAZINE,182.18699999999998,0.0688999999999999,99.72999999999999
ADENOSINE,267.245,-1.9800000000000006,139.54000000000002
THIORIDAZINE,370.587,5.885600000000005,6.48
LANSOPRAZOLE,369.3680000000001,3.515220000000001,73.86
IRINOTECAN,586.6890000000004,4.0911000000000035,114.2
MORPHINE,285.343,1.1981,52.93000000000001
CODEINE,299.3700000000001,1.5010999999999999,41.93
CHLORPROMAZINE,318.8730000000001,4.894400000000004,6.48
DESIPRAMINE,266.388,3.5328000000000026,15.27
AMINOGLUTETHIMIDE,232.28299999999996,1.3532,72.19
CROMOLYN SODIUM,512.3340000000002,-6.546899999999996,179.37
CHLOROQUINE,319.88000000000005,4.810600000000004,28.16
PAROXETINE,329.3710000000001,3.326500000000002,39.72
ETORICOXIB,358.8500000000001,4.175920000000004,59.92
LIDOCAINE,234.343,2.5837400000000006,32.34
ETIDOCAINE,276.42400000000004,3.7524400000000018,32.34
NALOXONE,327.3800000000001,1.3014,70.0
RALOXIFENE,473.5940000000001,6.075200000000007,70.0
TAMOXIFEN,371.524,5.9961000000000055,12.47
BROMOCRIPTINE,654.6059999999999,3.192800000000001,118.21
ILOPROST,360.4940000000001,3.541300000000003,77.76
TOPOTECAN,421.4530000000002,1.8468000000000002,104.89
RISPERIDONE,410.4930000000003,3.5904200000000026,64.16
CROMOLYN,468.37000000000023,2.1145,173.70999999999998
METOCLOPRAMIDE,299.8020000000001,2.0023999999999997,67.59
PACLITAXEL,853.918,3.7357000000000036,221.28999999999996
ALPROSTADIL,354.48700000000014,3.475100000000002,94.83
HEXACHLOROPHENE,406.90700000000004,6.609000000000001,40.46
CLIOQUINOL,305.502,3.1984000000000004,33.120000000000005
AGOMELATINE,243.30599999999995,2.527,38.33
CYCLOPHOSPHAMIDE ANHYDROUS,261.089,1.884,41.57000000000001
CHLORPROPAMIDE,276.745,1.7379,75.27000000000001
TIMOLOL,316.4270000000002,0.5024999999999997,79.74
PINDOLOL,248.32600000000002,1.9055999999999995,57.279999999999994
HYDRALAZINE,160.17999999999998,0.9153999999999998,63.83
AMPHETAMINE SULFATE,233.289,0.9235000000000004,100.62
AMPHOTERICIN B,924.0910000000002,0.7117000000000053,319.60999999999996
HISTAMINE,111.14799999999998,-0.08910000000000035,54.7
MICONAZOLE,416.1350000000001,6.454800000000002,27.05
DOCETAXEL ANHYDROUS,807.8900000000002,3.2596000000000025,224.44999999999996
ZILEUTON,236.29599999999996,2.7321999999999997,66.56
TACRINE,198.26899999999992,2.695800000000001,38.91
DONEPEZIL,379.50000000000017,4.361100000000004,38.77
LOVASTATIN,404.54700000000025,4.195500000000004,72.83
OZAGREL,228.251,2.0292,55.12
ACETANILIDE,135.16599999999997,1.6449999999999998,29.1
DIMETHYL SULFOXIDE,78.136,-0.005299999999999971,23.06
CHLORPHENIRAMINE,274.795,3.8186000000000027,16.130000000000003
PRIMAQUINE,259.35299999999995,2.782700000000001,60.17
MECLOFENAMIC ACID,296.153,4.743620000000003,49.33
PYRILAMINE,285.391,2.658400000000001,28.6
SERTINDOLE,440.9500000000002,4.627600000000004,40.510000000000005
CARMUSTINE,214.052,1.157,61.77
LOMUSTINE,233.69899999999996,2.2509000000000006,61.77
CHLORAMBUCIL,304.217,3.377900000000002,40.54
CYPROHEPTADINE,287.4060000000001,4.697900000000004,3.24
INAMRINONE,187.202,1.0191,71.77
DISOPYRAMIDE,339.4830000000001,3.361900000000002,59.22
VORINOSTAT,264.32500000000005,2.4711,78.43
IBUPROFEN,206.28499999999997,3.073200000000001,37.3
CLOMETACIN,357.7930000000001,3.9273200000000026,68.53
FLUNITRAZEPAM,313.28800000000007,2.5477000000000007,75.81
METHOXAMINE,211.261,1.0844,64.71
PROPOFOL,178.27499999999995,3.6390000000000025,20.23
PIROXICAM,331.35300000000007,1.5809999999999997,99.6
CEFTIZOXIME,383.41100000000006,-0.5557999999999992,147.20999999999998
PHENYLBUTAZONE,308.3810000000001,3.7878000000000025,40.620000000000005
AZITHROMYCIN,748.9960000000001,1.9007000000000054,180.08
AMDINOCILLIN,325.4339999999999,1.4062000000000001,73.21000000000001
PERGOLIDE,314.4980000000001,4.271100000000003,19.03
ERYTHROMYCIN,733.9370000000002,1.785600000000004,193.91
